Fecha,Hora,Clase de sitio,Arma empleada,Movil Agresor,Movil Victima,Sexo,Estado civil,Escolaridad,MARCA,
11/30/2018 , 03:30:00 PM,ENTIDAD PUBLICA / ESTATAL,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,CON PAREJA,SUPERIOR,NO REPORTADO,
11/30/2018 , 02:40:00 PM,VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,FEMENINO,SOLTERO,TECNOLOGO,HUAWEI,
11/30/2018 , 02:35:00 AM,VIA PUBLICA,SIN EMPLEO DE ARMAS,CONDUCTOR MOTOCICLETA,A PIE,FEMENINO,SOLTERO,TECNICO,HUAWEI,
11/30/2018 , 02:30:00 AM,VIA PUBLICA,ESCOPOLAMINA,CONDUCTOR TAXI,PASAJERO TAXI,MASCULINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 02:20:00 PM,LOCAL COMERCIAL,ARMA DE FUEGO,A PIE,A PIE,FEMENINO,CON PAREJA,SECUNDARIA,IPHONE,
11/30/2018 , 02:15:00 PM,VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,SUPERIOR,IPHONE,
11/30/2018 , 02:10:00 AM,TRANSPORTE PUBLICO,ARMA BLANCA / CORTOPUNZANTE,A PIE,CONDUCTOR MOTOCICLETA,MASCULINO,CON PAREJA,TECNICO,HUAWEI,
11/30/2018 , 02:00:00 PM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,PASAJERO BUS,FEMENINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 02:00:00 PM,ALMACENES,ARMA DE FUEGO,CONDUCTOR VEHICULO,A PIE,-,-,-,HUAWEI,
11/30/2018 , 02:00:00 PM,RESTAURANTES,SIN EMPLEO DE ARMAS,BICICLETA,A PIE,FEMENINO,SOLTERO,SUPERIOR,IPHONE,
11/30/2018 , 02:00:00 AM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,MASCULINO,CON PAREJA,TECNICO,MOTOROLA,
11/30/2018 , 02:00:00 AM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,MASCULINO,SOLTERO,SECUNDARIA,AVVIO,
11/30/2018 , 02:00:00 AM,VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,FEMENINO,CON PAREJA,SUPERIOR,IPHONE,
11/30/2018 , 01:50:00 AM,VIA PUBLICA,SIN EMPLEO DE ARMAS,CONDUCTOR TAXI,A PIE,FEMENINO,SOLTERO,SUPERIOR,IPHONE,
11/30/2018 , 01:50:00 AM,VIA PUBLICA,SIN EMPLEO DE ARMAS,CONDUCTOR TAXI,A PIE,FEMENINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 01:35:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,SECUNDARIA,SAMSUNG,
11/30/2018 , 01:30:00 PM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,MASCULINO,CON PAREJA,SUPERIOR,SAMSUNG,
11/30/2018 , 01:30:00 AM,VEHICULO TAXI,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,PASAJERO TAXI,FEMENINO,CON PAREJA,TECNOLOGO,HUAWEI,
11/30/2018 , 01:30:00 AM,BAHIA,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,FEMENINO,SOLTERO,TECNICO,HUAWEI,
11/30/2018 , 01:10:00 PM,VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,CON PAREJA,SUPERIOR,HTC,
11/30/2018 , 01:10:00 PM,VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,CON PAREJA,SUPERIOR,HTC,
11/30/2018 , 01:00:00 PM,VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,FEMENINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 01:00:00 PM,VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,FEMENINO,SOLTERO,TECNOLOGO,HUAWEI,
11/30/2018 , 01:00:00 PM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,SECUNDARIA,NO REPORTADO,
11/30/2018 , 01:00:00 PM,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,SECUNDARIA,SAMSUNG,
,,,,,,,,,,
