Fecha,Hora,Clase de sitio,Arma empleada,Movil Agresor,Movil Victima,Sexo,Estado civil,Escolaridad,MARCA,
11/30/2018 , 10:00:00 PM,RESTAURANTES,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,MASCULINO,SOLTERO,SUPERIOR,APPLE,
11/30/2018 , 10:00:00 AM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,PASAJERO MOTOCICLETA,A PIE,MASCULINO,SOLTERO,SECUNDARIA,APPLE,
11/30/2018 , 10:00:00 AM,VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,CONDUCTOR VEHICULO,MASCULINO,CON PAREJA,SUPERIOR,HUAWEI,
11/30/2018 , 10:00:00 AM,VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,FEMENINO,SOLTERO,SUPERIOR,HTC,
11/30/2018 , 09:50:00 AM,VIA PUBLICA,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,FEMENINO,CON PAREJA,TECNOLOGO,SAMSUNG,
11/30/2018 , 09:45:00 PM,VIA PUBLICA,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,MASCULINO,CON PAREJA,TECNOLOGO,LG,
11/30/2018 , 09:30:00 PM,VIA PUBLICA,SIN EMPLEO DE ARMAS,PASAJERO MOTOCICLETA,A PIE,MASCULINO,CON PAREJA,SUPERIOR,SAMSUNG,
11/30/2018 , 09:30:00 PM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,PASAJERO TAXI,FEMENINO,SOLTERO,SUPERIOR,SAMSUNG,
11/30/2018 , 09:30:00 PM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,PASAJERO MOTOCICLETA,A PIE,MASCULINO,SOLTERO,SUPERIOR,IPHONE,
11/30/2018 , 09:30:00 PM,TRANSPORTE PUBLICO,ARMA DE FUEGO,A PIE,PASAJERO TAXI,FEMENINO,CON PAREJA,SECUNDARIA,AVVIO,
11/30/2018 , 09:30:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,MASCULINO,CON PAREJA,PRIMARIA,NOKIA,
11/30/2018 , 09:30:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,MASCULINO,CON PAREJA,SUPERIOR,HUAWEI,
11/30/2018 , 09:30:00 AM,VIA PUBLICA,CONTUNDENTES,A PIE,A PIE,MASCULINO,CON PAREJA,SUPERIOR,HUAWEI,
11/30/2018 , 09:30:00 AM,VIA PUBLICA,SIN EMPLEO DE ARMAS,CONDUCTOR MOTOCICLETA,A PIE,MASCULINO,CON PAREJA,PRIMARIA,MOTOROLA,
11/30/2018 , 09:20:00 PM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,FEMENINO,SOLTERO,SECUNDARIA,SAMSUNG,
11/30/2018 , 09:20:00 PM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,FEMENINO,SOLTERO,SECUNDARIA,IPHONE,
11/30/2018 , 09:05:00 AM,VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,CON PAREJA,SECUNDARIA,LG,
11/30/2018 , 09:00:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,MASCULINO,SOLTERO,TECNICO,MOTOROLA,
11/30/2018 , 08:55:00 PM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,BICICLETA,A PIE,MASCULINO,CON PAREJA,TECNICO,HUAWEI,
11/30/2018 , 08:45:00 AM,CENTRO COMERCIAL,SIN EMPLEO DE ARMAS,A PIE,A PIE,FEMENINO,SOLTERO,TECNICO,HUAWEI,
11/30/2018 , 08:45:00 AM,CENTRO COMERCIAL,SIN EMPLEO DE ARMAS,A PIE,A PIE,FEMENINO,SOLTERO,TECNICO,HUAWEI,
11/30/2018 , 08:34:00 PM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,MASCULINO,SOLTERO,SUPERIOR,HTC,
11/30/2018 , 08:30:00 PM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,PASAJERO BUS,FEMENINO,CON PAREJA,SUPERIOR,MOTOROLA,
11/30/2018 , 08:30:00 PM,LOCAL COMERCIAL,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,SUPERIOR,APPLE,
11/30/2018 , 08:30:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,PASAJERO BUS,MASCULINO,SOLTERO,TECNOLOGO,SAMSUNG,
11/30/2018 , 08:30:00 AM,VIA PUBLICA,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,FEMENINO,SOLTERO,SUPERIOR,MOTOROLA,
11/30/2018 , 08:30:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,MASCULINO,SOLTERO,TECNOLOGO,SAMSUNG,
11/30/2018 , 08:30:00 AM,SECTOR COMERCIO,CONTUNDENTES,A PIE,PASAJERO BUS,FEMENINO,SOLTERO,TECNICO,HUAWEI,
11/30/2018 , 08:30:00 AM,VIA PUBLICA,SIN EMPLEO DE ARMAS,PASAJERO MOTOCICLETA,A PIE,MASCULINO,CON PAREJA,SUPERIOR,-,
11/30/2018 , 08:25:00 AM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR MOTOCICLETA,A PIE,FEMENINO,SOLTERO,SECUNDARIA,ALCATEL,
11/30/2018 , 08:20:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,FEMENINO,CON PAREJA,SUPERIOR,HUAWEI,
